condition,label,requested_pairs,mean_accuracy,mean_fmr,mean_fnmr,false_matches,false_nonmatches,scored_pairs,excluded_pairs,coverage,genuine_pairs,impostor_pairs,pooled_auc,pooled_eer_interpolated,mean_fold_auc,sd_fold_auc,mean_fold_eer_interpolated,sd_fold_eer_interpolated,mean_genuine_score,mean_impostor_score
original,Original,6000,0.9916661101836393,0.004333333333333333,0.0123355629877369,13,37,5999,1,0.9998333333333334,2999,3000,0.9991157052350784,0.009003001000333466,0.9990688517279821,0.0009782452905319362,0.009334448160535126,0.00583602794199793,0.7515402212987427,0.02274002730210001
resolution_80,Resolution 80 × 80,6000,0.9911658319421257,0.004333333333333333,0.013336677814938682,13,40,5999,1,0.9998333333333334,2999,3000,0.9990385684116929,0.008666666666666666,0.9990055146785581,0.0010200508695078889,0.009001114827201796,0.005453353122931518,0.7470693355957223,0.023425478538808723
resolution_40,Resolution 40 × 40,6000,0.9883319421257651,0.004666666666666667,0.018671125975473803,14,56,5999,1,0.9998333333333334,2999,3000,0.9985348449483161,0.012670890296765602,0.9984706763285024,0.0012525442752363439,0.012670011148272037,0.005395933207004511,0.7177536560967192,0.025471513164152082
resolution_20,Resolution 20 × 20,6000,0.8998210907067333,0.009666666666666667,0.19071348940914157,29,572,5999,1,0.9998333333333334,2999,3000,0.9846122040680226,0.060020006668889625,0.9844109847640281,0.007129108542217754,0.05933333333333335,0.013314801936840218,0.536431811664846,0.03229620154155418
blur_sigma_1,Blur σ = 1,6000,0.9911658319421257,0.004333333333333333,0.013336677814938682,13,40,5999,1,0.9998333333333334,2999,3000,0.9990509058575081,0.008336112037345744,0.9990255109624675,0.0010003156236851444,0.00900111482720179,0.005453353122931509,0.7472499120445123,0.023392991485772653
blur_sigma_2,Blur σ = 2,6000,0.9891655537006121,0.004333333333333333,0.01733779264214047,13,52,5999,1,0.9998333333333334,2999,3000,0.998729020784706,0.012333333333333333,0.9986797064288367,0.0011467891083902528,0.011336677814938691,0.006702870570537922,0.7211408210808374,0.02464364947580422
blur_sigma_3,Blur σ = 3,6000,0.9781638842515303,0.005333333333333334,0.038344481605351165,16,115,5999,1,0.9998333333333334,2999,3000,0.9976861731688341,0.018666666666666668,0.9976347751765143,0.0013747582944779815,0.019337792642140465,0.005392267043899457,0.6690625057081534,0.026443093337118626
brightness_0.75,Brightness × 0.75,6000,0.9921663884251531,0.0036666666666666666,0.012001114827201783,11,36,5999,1,0.9998333333333334,2999,3000,0.9991614982772036,0.008669556518839605,0.9991299442586399,0.0008632232248969272,0.009334448160535119,0.006043869451125647,0.7496774194922973,0.022615025429443145
brightness_0.5,Brightness × 0.50,6000,0.9919997217584864,0.003333333333333333,0.012667781493868449,10,38,5999,1,0.9998333333333334,2999,3000,0.9990980326775594,0.008666666666666666,0.9990621553325901,0.0008621949261690771,0.010001114827201793,0.005664120576219289,0.7410699240956486,0.02248213088493018
brightness_0.25,Brightness × 0.25,6000,0.9856647189760712,0.004333333333333333,0.02434002229654404,13,73,5999,1,0.9998333333333334,2999,3000,0.9985272868734022,0.013333333333333334,0.9985085618729096,0.0011413327186334601,0.01366666666666667,0.0055444333110553825,0.7060337271535146,0.021211432447928624
