condition,fold,scored_pairs,auc,eer_interpolated
original,0,600,0.9998777777777778,0.00666666666666671
original,1,599,0.9998885172798216,0.0033444816053511683
original,2,600,0.9991333333333333,0.016666666666666666
original,3,600,0.9973777777777777,0.01666666666666672
original,4,600,0.9989111111111111,0.013333333333333334
original,5,600,0.9997666666666667,0.00666666666666671
original,6,600,0.9979777777777777,0.016666666666666666
original,7,600,0.9979333333333333,0.006666666666666667
original,8,600,0.9999888888888888,0.0033333333333332993
original,9,600,0.9998333333333334,0.0033333333333333335
resolution_80,0,600,0.9998555555555555,0.00666666666666671
resolution_80,1,599,0.9998773690078038,0.0033444816053511683
resolution_80,2,600,0.9988777777777778,0.013333333333333308
resolution_80,3,600,0.9975999999999999,0.01666666666666672
resolution_80,4,600,0.9988444444444444,0.013333333333333334
resolution_80,5,600,0.9998666666666667,0.00666666666666671
resolution_80,6,600,0.9978666666666666,0.01666666666666672
resolution_80,7,600,0.9974999999999999,0.006666666666666667
resolution_80,8,600,0.9999777777777777,0.0033333333333332993
resolution_80,9,600,0.999788888888889,0.0033333333333333335
resolution_40,0,600,0.9996222222222222,0.010000000000000009
resolution_40,1,599,0.9986956521739131,0.010033444816053505
resolution_40,2,600,0.9974666666666666,0.01666666666666672
resolution_40,3,600,0.9971666666666668,0.020000000000000018
resolution_40,4,600,0.9989555555555556,0.01666666666666672
resolution_40,5,600,0.9998222222222223,0.006666666666666667
resolution_40,6,600,0.9973,0.020000000000000018
resolution_40,7,600,0.9964777777777778,0.013333333333333308
resolution_40,8,600,0.9998,0.00666666666666671
resolution_40,9,600,0.9994,0.00666666666666671
resolution_20,0,600,0.984977777777778,0.06000000000000005
resolution_20,1,599,0.9896209587513934,0.043333333333333335
resolution_20,2,600,0.9692111111111111,0.09
resolution_20,3,600,0.9900555555555555,0.05333333333333334
resolution_20,4,600,0.9886999999999999,0.05
resolution_20,5,600,0.9885999999999999,0.056666666666666664
resolution_20,6,600,0.9823111111111112,0.05333333333333334
resolution_20,7,600,0.974488888888889,0.07333333333333336
resolution_20,8,600,0.9872222222222222,0.06000000000000005
resolution_20,9,600,0.9889222222222221,0.05333333333333334
blur_sigma_1,0,600,0.9998555555555555,0.00666666666666671
blur_sigma_1,1,599,0.9998662207357859,0.0033444816053511683
blur_sigma_1,2,600,0.9989,0.013333333333333308
blur_sigma_1,3,600,0.9975999999999999,0.01666666666666672
blur_sigma_1,4,600,0.9989,0.013333333333333334
blur_sigma_1,5,600,0.9998555555555555,0.00666666666666671
blur_sigma_1,6,600,0.9980222222222221,0.016666666666666666
blur_sigma_1,7,600,0.9974888888888889,0.006666666666666667
blur_sigma_1,8,600,0.9999777777777777,0.0033333333333332993
blur_sigma_1,9,600,0.999788888888889,0.0033333333333333335
blur_sigma_2,0,600,0.9997444444444444,0.00666666666666671
blur_sigma_2,1,599,0.9991192865105908,0.010033444816053505
blur_sigma_2,2,600,0.9977777777777778,0.023333333333333317
blur_sigma_2,3,600,0.9977444444444444,0.02
blur_sigma_2,4,600,0.9987666666666667,0.013333333333333308
blur_sigma_2,5,600,0.9999333333333333,0.0033333333333332993
blur_sigma_2,6,600,0.997611111111111,0.01666666666666672
blur_sigma_2,7,600,0.9966999999999999,0.006666666666666667
blur_sigma_2,8,600,0.9999222222222222,0.006666666666666667
blur_sigma_2,9,600,0.9994777777777777,0.00666666666666671
blur_sigma_3,0,600,0.9987777777777778,0.023333333333333317
blur_sigma_3,1,599,0.9976588628762542,0.013377926421404673
blur_sigma_3,2,600,0.9958777777777776,0.026666666666666616
blur_sigma_3,3,600,0.9969222222222223,0.026666666666666616
blur_sigma_3,4,600,0.9976444444444444,0.023333333333333334
blur_sigma_3,5,600,0.9993333333333334,0.013333333333333334
blur_sigma_3,6,600,0.9968222222222222,0.020000000000000018
blur_sigma_3,7,600,0.9953888888888889,0.01666666666666672
blur_sigma_3,8,600,0.9989666666666667,0.013333333333333308
blur_sigma_3,9,600,0.9989555555555556,0.01666666666666672
brightness_0.75,0,600,0.9998777777777778,0.006666666666666667
brightness_0.75,1,599,0.9998327759197324,0.0033444816053511683
brightness_0.75,2,600,0.9991777777777777,0.013333333333333334
brightness_0.75,3,600,0.9981111111111111,0.01666666666666672
brightness_0.75,4,600,0.9989666666666667,0.013333333333333308
brightness_0.75,5,600,0.9997888888888888,0.0033333333333332993
brightness_0.75,6,600,0.9979333333333333,0.020000000000000018
brightness_0.75,7,600,0.9978666666666667,0.006666666666666667
brightness_0.75,8,600,0.9999777777777777,0.0033333333333332993
brightness_0.75,9,600,0.9997666666666667,0.00666666666666671
brightness_0.5,0,600,0.9997444444444444,0.00666666666666671
brightness_0.5,1,599,0.9997993311036789,0.0033444816053511683
brightness_0.5,2,600,0.9992555555555556,0.013333333333333308
brightness_0.5,3,600,0.9984666666666666,0.01666666666666672
brightness_0.5,4,600,0.9988222222222222,0.013333333333333308
brightness_0.5,5,600,0.9997,0.01
brightness_0.5,6,600,0.9975555555555554,0.020000000000000018
brightness_0.5,7,600,0.9978111111111111,0.006666666666666667
brightness_0.5,8,600,0.9999444444444444,0.0033333333333333335
brightness_0.5,9,600,0.9995222222222222,0.00666666666666671
brightness_0.25,0,600,0.9997222222222222,0.01
brightness_0.25,1,599,0.9990189520624303,0.013333333333333334
brightness_0.25,2,600,0.9990333333333334,0.013333333333333334
brightness_0.25,3,600,0.9972666666666666,0.016666666666666666
brightness_0.25,4,600,0.9979777777777776,0.01666666666666672
brightness_0.25,5,600,0.9996,0.010000000000000009
brightness_0.25,6,600,0.9971222222222221,0.026666666666666616
brightness_0.25,7,600,0.9968111111111111,0.010000000000000009
brightness_0.25,8,600,0.9998777777777778,0.00666666666666671
brightness_0.25,9,600,0.9986555555555555,0.013333333333333308
