condition,pair_type,count,mean,sd,p05,median,p95
original,genuine,2999,0.7515402212987427,0.11778979034274525,0.5353979706764221,0.7709415555000305,0.9050594329833984
original,impostor,3000,0.02274002730210001,0.15343726732317403,-0.2289753459393978,0.020771718584001064,0.27906643301248546
resolution_80,genuine,2999,0.7470693355957223,0.11928048134572523,0.5264505326747895,0.7665483355522156,0.903274804353714
resolution_80,impostor,3000,0.023425478538808723,0.15380001353081485,-0.22559911757707596,0.021534664556384087,0.2821760714054107
resolution_40,genuine,2999,0.7177536560967192,0.12420084308087213,0.48853095471858976,0.7368122935295105,0.8809884905815124
resolution_40,impostor,3000,0.025471513164152082,0.15403582889482292,-0.22350130528211593,0.02075137570500374,0.2907313704490661
resolution_20,genuine,2999,0.536431811664846,0.15157039748233261,0.2577163279056549,0.5542786717414856,0.7528391718864441
resolution_20,impostor,3000,0.03229620154155418,0.15534583273123867,-0.21468833461403847,0.029113746248185635,0.2943164080381393
blur_sigma_1,genuine,2999,0.7472499120445123,0.11913989061159423,0.5267957091331482,0.7667620182037354,0.9035134434700012
blur_sigma_1,impostor,3000,0.023392991485772653,0.15381197366383856,-0.2253870978951454,0.021122045814990997,0.28316118568181975
blur_sigma_2,genuine,2999,0.7211408210808374,0.12324369977840473,0.4932491719722748,0.7379900217056274,0.884667944908142
blur_sigma_2,impostor,3000,0.02464364947580422,0.15441743659363058,-0.2231288067996502,0.021183881908655167,0.28953670263290376
blur_sigma_3,genuine,2999,0.6690625057081534,0.12945058997041817,0.43032615780830386,0.6886597871780396,0.8412713170051574
blur_sigma_3,impostor,3000,0.026443093337118626,0.15438712514423703,-0.22535285353660583,0.02077000681310892,0.29149280190467824
brightness_0.75,genuine,2999,0.7496774194922973,0.11789367827966331,0.5314948439598084,0.7691872119903564,0.9045739233493805
brightness_0.75,impostor,3000,0.022615025429443145,0.15362071808205538,-0.23109910190105437,0.019203956238925457,0.2856755837798117
brightness_0.5,genuine,2999,0.7410699240956486,0.11949472797691141,0.5204185724258423,0.7591937780380249,0.9015288770198822
brightness_0.5,impostor,3000,0.02248213088493018,0.15370875896765698,-0.23292074650526046,0.021653788164258003,0.28711839318275434
brightness_0.25,genuine,2999,0.7060337271535146,0.12673081005174963,0.46960154771804813,0.7252054214477539,0.8773779332637787
brightness_0.25,impostor,3000,0.021211432447928624,0.15346169383297167,-0.22879630401730539,0.016457163728773594,0.2858570337295531
