scored_pairs,genuine_pairs,impostor_pairs,true_accepts,true_rejects,false_matches,false_nonmatches,accuracy,fmr,fnmr,fold,threshold,calibration_pairs,requested_pairs,excluded_genuine_pairs,excluded_impostor_pairs,coverage,genuine_coverage,impostor_coverage,reject_on_failure_accuracy,reject_on_failure_genuine_rejection_rate
600,300,300,298,299,1,2,0.995,0.0033333333333333335,0.006666666666666667,0,0.40350908041000366,5399,600,0,0,1.0,1.0,1.0,0.995,0.006666666666666667
599,299,300,297,300,0,2,0.996661101836394,0.0,0.006688963210702341,1,0.40350908041000366,5400,600,1,0,0.9983333333333333,0.9966666666666667,1.0,0.995,0.01
600,300,300,293,298,2,7,0.985,0.006666666666666667,0.023333333333333334,2,0.41554616391658783,5399,600,0,0,1.0,1.0,1.0,0.985,0.023333333333333334
600,300,300,293,297,3,7,0.9833333333333333,0.01,0.023333333333333334,3,0.40350908041000366,5399,600,0,0,1.0,1.0,1.0,0.9833333333333333,0.023333333333333334
600,300,300,295,298,2,5,0.9883333333333333,0.006666666666666667,0.016666666666666666,4,0.40350908041000366,5399,600,0,0,1.0,1.0,1.0,0.9883333333333333,0.016666666666666666
600,300,300,297,300,0,3,0.995,0.0,0.01,5,0.40350908041000366,5399,600,0,0,1.0,1.0,1.0,0.995,0.01
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,6,0.4230506420135498,5399,600,0,0,1.0,1.0,1.0,0.9833333333333333,0.03
600,300,300,300,298,2,0,0.9966666666666667,0.006666666666666667,0.0,7,0.40316081047058105,5399,600,0,0,1.0,1.0,1.0,0.9966666666666667,0.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,8,0.41554616391658783,5399,600,0,0,1.0,1.0,1.0,0.9966666666666667,0.0033333333333333335
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,9,0.40350908041000366,5399,600,0,0,1.0,1.0,1.0,0.9966666666666667,0.0033333333333333335
