pair_index,fold,reference,probe,label,status,cosine_similarity
0,0,Aaron_Peirsol/Aaron_Peirsol_0001.jpg,Aaron_Peirsol/Aaron_Peirsol_0002.jpg,1,scored,0.8257167339324951
1,0,Aaron_Peirsol/Aaron_Peirsol_0003.jpg,Aaron_Peirsol/Aaron_Peirsol_0004.jpg,1,scored,0.6792358756065369
2,0,Aaron_Sorkin/Aaron_Sorkin_0001.jpg,Aaron_Sorkin/Aaron_Sorkin_0002.jpg,1,scored,0.6131268739700317
3,0,Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,1,scored,0.9180705547332764
4,0,Abdullah/Abdullah_0001.jpg,Abdullah/Abdullah_0003.jpg,1,scored,0.8060819506645203
5,0,Abdullah/Abdullah_0002.jpg,Abdullah/Abdullah_0004.jpg,1,scored,0.770911455154419
6,0,Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg,Abdullah_al-Attiyah/Abdullah_al-Attiyah_0003.jpg,1,scored,0.827843427658081
7,0,Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,Abdullah_al-Attiyah/Abdullah_al-Attiyah_0003.jpg,1,scored,0.8768744468688965
8,0,Abel_Pacheco/Abel_Pacheco_0001.jpg,Abel_Pacheco/Abel_Pacheco_0004.jpg,1,scored,0.7451061606407166
9,0,Abel_Pacheco/Abel_Pacheco_0003.jpg,Abel_Pacheco/Abel_Pacheco_0004.jpg,1,scored,0.8238084316253662
1100,0,AJ_Cook/AJ_Cook_0001.jpg,Marsha_Thomason/Marsha_Thomason_0001.jpg,0,scored,0.053635042160749435
1101,0,Aaron_Sorkin/Aaron_Sorkin_0002.jpg,Frank_Solich/Frank_Solich_0005.jpg,0,scored,0.049712710082530975
1102,0,Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,Hilary_McKay/Hilary_McKay_0001.jpg,0,scored,0.25881779193878174
1103,0,Abdoulaye_Wade/Abdoulaye_Wade_0004.jpg,Linda_Dano/Linda_Dano_0001.jpg,0,scored,0.20552459359169006
1104,0,Abdul_Rahman/Abdul_Rahman_0001.jpg,Magui_Serna/Magui_Serna_0001.jpg,0,scored,-0.030191758647561073
1105,0,Abdullah/Abdullah_0001.jpg,Dwain_Kyles/Dwain_Kyles_0001.jpg,0,scored,0.22222083806991577
1106,0,Abdullah_Nasseef/Abdullah_Nasseef_0001.jpg,Hipolito_Mejia/Hipolito_Mejia_0003.jpg,0,scored,-0.11480532586574554
1107,0,Abel_Pacheco/Abel_Pacheco_0001.jpg,Matt_Roney/Matt_Roney_0001.jpg,0,scored,0.035597845911979675
1108,0,Abel_Pacheco/Abel_Pacheco_0004.jpg,Lucio_Stanca/Lucio_Stanca_0001.jpg,0,scored,0.2766810655593872
1109,0,Abner_Martinez/Abner_Martinez_0001.jpg,Aidan_Quinn/Aidan_Quinn_0001.jpg,0,scored,-0.2533688247203827
