scored_pairs,genuine_pairs,impostor_pairs,true_accepts,true_rejects,false_matches,false_nonmatches,accuracy,fmr,fnmr,fold,threshold,requested_pairs,excluded_pairs,coverage,condition,family,level
600,300,300,298,299,1,2,0.995,0.0033333333333333335,0.006666666666666667,0,0.40350908041000366,600,0,1.0,original,control,0.0
599,299,300,297,300,0,2,0.996661101836394,0.0,0.006688963210702341,1,0.40350908041000366,600,1,0.9983333333333333,original,control,0.0
600,300,300,293,298,2,7,0.985,0.006666666666666667,0.023333333333333334,2,0.41554616391658783,600,0,1.0,original,control,0.0
600,300,300,293,297,3,7,0.9833333333333333,0.01,0.023333333333333334,3,0.40350908041000366,600,0,1.0,original,control,0.0
600,300,300,295,298,2,5,0.9883333333333333,0.006666666666666667,0.016666666666666666,4,0.40350908041000366,600,0,1.0,original,control,0.0
600,300,300,297,300,0,3,0.995,0.0,0.01,5,0.40350908041000366,600,0,1.0,original,control,0.0
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,6,0.4230506420135498,600,0,1.0,original,control,0.0
600,300,300,300,298,2,0,0.9966666666666667,0.006666666666666667,0.0,7,0.40316081047058105,600,0,1.0,original,control,0.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,8,0.41554616391658783,600,0,1.0,original,control,0.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,9,0.40350908041000366,600,0,1.0,original,control,0.0
600,300,300,298,300,0,2,0.9966666666666667,0.0,0.006666666666666667,0,0.40350908041000366,600,0,1.0,blur_sigma_1,blur,1.0
599,299,300,296,300,0,3,0.994991652754591,0.0,0.010033444816053512,1,0.40350908041000366,600,1,0.9983333333333333,blur_sigma_1,blur,1.0
600,300,300,292,299,1,8,0.985,0.0033333333333333335,0.02666666666666667,2,0.41554616391658783,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,293,297,3,7,0.9833333333333333,0.01,0.023333333333333334,3,0.40350908041000366,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,295,297,3,5,0.9866666666666667,0.01,0.016666666666666666,4,0.40350908041000366,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,297,300,0,3,0.995,0.0,0.01,5,0.40350908041000366,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,6,0.4230506420135498,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,299,298,2,1,0.995,0.006666666666666667,0.0033333333333333335,7,0.40316081047058105,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,299,298,2,1,0.995,0.006666666666666667,0.0033333333333333335,8,0.41554616391658783,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,9,0.40350908041000366,600,0,1.0,blur_sigma_1,blur,1.0
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,0,0.40350908041000366,600,0,1.0,blur_sigma_2,blur,2.0
599,299,300,295,300,0,4,0.993322203672788,0.0,0.013377926421404682,1,0.40350908041000366,600,1,0.9983333333333333,blur_sigma_2,blur,2.0
600,300,300,291,298,2,9,0.9816666666666667,0.006666666666666667,0.03,2,0.41554616391658783,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,293,298,2,7,0.985,0.006666666666666667,0.023333333333333334,3,0.40350908041000366,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,292,298,2,8,0.9833333333333333,0.006666666666666667,0.02666666666666667,4,0.40350908041000366,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,297,300,0,3,0.995,0.0,0.01,5,0.40350908041000366,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,290,298,2,10,0.98,0.006666666666666667,0.03333333333333333,6,0.4230506420135498,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,298,298,2,2,0.9933333333333333,0.006666666666666667,0.006666666666666667,7,0.40316081047058105,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,8,0.41554616391658783,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,9,0.40350908041000366,600,0,1.0,blur_sigma_2,blur,2.0
600,300,300,287,297,3,13,0.9733333333333334,0.01,0.043333333333333335,0,0.40350908041000366,600,0,1.0,blur_sigma_3,blur,3.0
599,299,300,289,300,0,10,0.9833055091819699,0.0,0.033444816053511704,1,0.40350908041000366,600,1,0.9983333333333333,blur_sigma_3,blur,3.0
600,300,300,282,298,2,18,0.9666666666666667,0.006666666666666667,0.06,2,0.41554616391658783,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,288,300,0,12,0.98,0.0,0.04,3,0.40350908041000366,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,290,297,3,10,0.9783333333333334,0.01,0.03333333333333333,4,0.40350908041000366,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,290,300,0,10,0.9833333333333333,0.0,0.03333333333333333,5,0.40350908041000366,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,287,297,3,13,0.9733333333333334,0.01,0.043333333333333335,6,0.4230506420135498,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,290,298,2,10,0.98,0.006666666666666667,0.03333333333333333,7,0.40316081047058105,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,288,298,2,12,0.9766666666666667,0.006666666666666667,0.04,8,0.41554616391658783,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,293,299,1,7,0.9866666666666667,0.0033333333333333335,0.023333333333333334,9,0.40350908041000366,600,0,1.0,blur_sigma_3,blur,3.0
600,300,300,298,300,0,2,0.9966666666666667,0.0,0.006666666666666667,0,0.40350908041000366,600,0,1.0,brightness_0.75,brightness,0.75
599,299,300,298,300,0,1,0.998330550918197,0.0,0.0033444816053511705,1,0.40350908041000366,600,1,0.9983333333333333,brightness_0.75,brightness,0.75
600,300,300,293,299,1,7,0.9866666666666667,0.0033333333333333335,0.023333333333333334,2,0.41554616391658783,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,294,297,3,6,0.985,0.01,0.02,3,0.40350908041000366,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,295,299,1,5,0.99,0.0033333333333333335,0.016666666666666666,4,0.40350908041000366,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,297,300,0,3,0.995,0.0,0.01,5,0.40350908041000366,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,6,0.4230506420135498,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,300,298,2,0,0.9966666666666667,0.006666666666666667,0.0,7,0.40316081047058105,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,8,0.41554616391658783,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,298,298,2,2,0.9933333333333333,0.006666666666666667,0.006666666666666667,9,0.40350908041000366,600,0,1.0,brightness_0.75,brightness,0.75
600,300,300,297,300,0,3,0.995,0.0,0.01,0,0.40350908041000366,600,0,1.0,brightness_0.5,brightness,0.5
599,299,300,298,300,0,1,0.998330550918197,0.0,0.0033444816053511705,1,0.40350908041000366,600,1,0.9983333333333333,brightness_0.5,brightness,0.5
600,300,300,292,299,1,8,0.985,0.0033333333333333335,0.02666666666666667,2,0.41554616391658783,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,294,299,1,6,0.9883333333333333,0.0033333333333333335,0.02,3,0.40350908041000366,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,296,299,1,4,0.9916666666666667,0.0033333333333333335,0.013333333333333334,4,0.40350908041000366,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,5,0.40350908041000366,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,6,0.4230506420135498,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,299,298,2,1,0.995,0.006666666666666667,0.0033333333333333335,7,0.40316081047058105,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,8,0.41554616391658783,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,298,298,2,2,0.9933333333333333,0.006666666666666667,0.006666666666666667,9,0.40350908041000366,600,0,1.0,brightness_0.5,brightness,0.5
600,300,300,294,299,1,6,0.9883333333333333,0.0033333333333333335,0.02,0,0.40350908041000366,600,0,1.0,brightness_0.25,brightness,0.25
599,299,300,293,299,1,6,0.988313856427379,0.0033333333333333335,0.020066889632107024,1,0.40350908041000366,600,1,0.9983333333333333,brightness_0.25,brightness,0.25
600,300,300,289,299,1,11,0.98,0.0033333333333333335,0.03666666666666667,2,0.41554616391658783,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,292,297,3,8,0.9816666666666667,0.01,0.02666666666666667,3,0.40350908041000366,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,294,300,0,6,0.99,0.0,0.02,4,0.40350908041000366,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,5,0.40350908041000366,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,287,300,0,13,0.9783333333333334,0.0,0.043333333333333335,6,0.4230506420135498,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,297,298,2,3,0.9916666666666667,0.006666666666666667,0.01,7,0.40316081047058105,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,8,0.41554616391658783,600,0,1.0,brightness_0.25,brightness,0.25
600,300,300,292,297,3,8,0.9816666666666667,0.01,0.02666666666666667,9,0.40350908041000366,600,0,1.0,brightness_0.25,brightness,0.25
