scored_pairs,genuine_pairs,impostor_pairs,true_accepts,true_rejects,false_matches,false_nonmatches,accuracy,fmr,fnmr,resolution,fold,threshold,requested_pairs,excluded_pairs,coverage
600,300,300,298,299,1,2,0.995,0.0033333333333333335,0.006666666666666667,160,0,0.40350908041000366,600,0,1.0
599,299,300,297,300,0,2,0.996661101836394,0.0,0.006688963210702341,160,1,0.40350908041000366,600,1,0.9983333333333333
600,300,300,293,298,2,7,0.985,0.006666666666666667,0.023333333333333334,160,2,0.41554616391658783,600,0,1.0
600,300,300,293,297,3,7,0.9833333333333333,0.01,0.023333333333333334,160,3,0.40350908041000366,600,0,1.0
600,300,300,295,298,2,5,0.9883333333333333,0.006666666666666667,0.016666666666666666,160,4,0.40350908041000366,600,0,1.0
600,300,300,297,300,0,3,0.995,0.0,0.01,160,5,0.40350908041000366,600,0,1.0
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,160,6,0.4230506420135498,600,0,1.0
600,300,300,300,298,2,0,0.9966666666666667,0.006666666666666667,0.0,160,7,0.40316081047058105,600,0,1.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,160,8,0.41554616391658783,600,0,1.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,160,9,0.40350908041000366,600,0,1.0
600,300,300,298,300,0,2,0.9966666666666667,0.0,0.006666666666666667,80,0,0.40350908041000366,600,0,1.0
599,299,300,296,300,0,3,0.994991652754591,0.0,0.010033444816053512,80,1,0.40350908041000366,600,1,0.9983333333333333
600,300,300,292,299,1,8,0.985,0.0033333333333333335,0.02666666666666667,80,2,0.41554616391658783,600,0,1.0
600,300,300,293,297,3,7,0.9833333333333333,0.01,0.023333333333333334,80,3,0.40350908041000366,600,0,1.0
600,300,300,295,297,3,5,0.9866666666666667,0.01,0.016666666666666666,80,4,0.40350908041000366,600,0,1.0
600,300,300,297,300,0,3,0.995,0.0,0.01,80,5,0.40350908041000366,600,0,1.0
600,300,300,291,299,1,9,0.9833333333333333,0.0033333333333333335,0.03,80,6,0.4230506420135498,600,0,1.0
600,300,300,299,298,2,1,0.995,0.006666666666666667,0.0033333333333333335,80,7,0.40316081047058105,600,0,1.0
600,300,300,299,298,2,1,0.995,0.006666666666666667,0.0033333333333333335,80,8,0.41554616391658783,600,0,1.0
600,300,300,299,299,1,1,0.9966666666666667,0.0033333333333333335,0.0033333333333333335,80,9,0.40350908041000366,600,0,1.0
600,300,300,296,298,2,4,0.99,0.006666666666666667,0.013333333333333334,40,0,0.40350908041000366,600,0,1.0
599,299,300,295,299,1,4,0.991652754590985,0.0033333333333333335,0.013377926421404682,40,1,0.40350908041000366,600,1,0.9983333333333333
600,300,300,290,299,1,10,0.9816666666666667,0.0033333333333333335,0.03333333333333333,40,2,0.41554616391658783,600,0,1.0
600,300,300,292,299,1,8,0.985,0.0033333333333333335,0.02666666666666667,40,3,0.40350908041000366,600,0,1.0
600,300,300,294,299,1,6,0.9883333333333333,0.0033333333333333335,0.02,40,4,0.40350908041000366,600,0,1.0
600,300,300,296,299,1,4,0.9916666666666667,0.0033333333333333335,0.013333333333333334,40,5,0.40350908041000366,600,0,1.0
600,300,300,289,299,1,11,0.98,0.0033333333333333335,0.03666666666666667,40,6,0.4230506420135498,600,0,1.0
600,300,300,296,296,4,4,0.9866666666666667,0.013333333333333334,0.013333333333333334,40,7,0.40316081047058105,600,0,1.0
600,300,300,297,299,1,3,0.9933333333333333,0.0033333333333333335,0.01,40,8,0.41554616391658783,600,0,1.0
600,300,300,298,299,1,2,0.995,0.0033333333333333335,0.006666666666666667,40,9,0.40350908041000366,600,0,1.0
600,300,300,248,296,4,52,0.9066666666666666,0.013333333333333334,0.17333333333333334,20,0,0.40350908041000366,600,0,1.0
599,299,300,257,298,2,42,0.9265442404006677,0.006666666666666667,0.14046822742474915,20,1,0.40350908041000366,600,1,0.9983333333333333
600,300,300,213,295,5,87,0.8466666666666667,0.016666666666666666,0.29,20,2,0.41554616391658783,600,0,1.0
600,300,300,242,299,1,58,0.9016666666666666,0.0033333333333333335,0.19333333333333333,20,3,0.40350908041000366,600,0,1.0
600,300,300,253,296,4,47,0.915,0.013333333333333334,0.15666666666666668,20,4,0.40350908041000366,600,0,1.0
600,300,300,245,296,4,55,0.9016666666666666,0.013333333333333334,0.18333333333333332,20,5,0.40350908041000366,600,0,1.0
600,300,300,240,299,1,60,0.8983333333333333,0.0033333333333333335,0.2,20,6,0.4230506420135498,600,0,1.0
600,300,300,245,296,4,55,0.9016666666666666,0.013333333333333334,0.18333333333333332,20,7,0.40316081047058105,600,0,1.0
600,300,300,237,300,0,63,0.895,0.0,0.21,20,8,0.41554616391658783,600,0,1.0
600,300,300,247,296,4,53,0.905,0.013333333333333334,0.17666666666666667,20,9,0.40350908041000366,600,0,1.0
